ThreadId,TimerId,StartTime,EndTime,Depth
128,4454,7041.44674,7041.44683,1
128,4454,7041.45082,7041.45088,1
128,4454,7041.47095,7041.49723,1
128,4454,7041.52299,7041.55055,1
128,4454,7041.59184,7041.62282,1
128,4454,7041.76497,7041.76503,1
128,4454,7041.78832,7041.81437,1
128,4454,7041.8276,7041.82766,1
128,4454,7041.83026,7041.83033,1
128,4454,7041.83368,7041.83376,1
128,4454,7041.84947,7041.84954,1
128,4454,7041.95012,7041.95019,1
128,4454,7041.97262,7042.00066,1
128,4454,7042.01302,7042.0131,1
128,4454,7042.11222,7042.11228,1
128,4454,7042.11488,7042.11496,1
128,4454,7042.11779,7042.11785,1
128,4454,7042.13753,7042.16677,1
128,4454,7042.24956,7042.24965,1
128,4454,7042.25185,7042.2519,1
128,4454,7042.25481,7042.25489,1
128,4454,7042.25768,7042.25777,1
128,4454,7042.27209,7042.27215,1
128,4454,7042.315,7042.31509,1
128,4454,7042.34059,7042.36949,1
128,4454,7042.45888,7042.45897,1
128,4454,7042.46187,7042.46192,1
128,4454,7042.46422,7042.46429,1
128,4454,7042.51054,7042.51063,1
128,4454,7042.51602,7042.51612,1
128,4454,7042.51943,7042.51951,1
128,4454,7042.52296,7042.52301,1
128,4454,7042.52667,7042.52674,1
128,4454,7042.53096,7042.53105,1
128,4454,7042.53411,7042.53418,1
128,4454,7042.53686,7042.53691,1
128,4454,7042.53935,7042.53942,1
128,4454,7042.54223,7042.54229,1
128,4454,7042.56099,7042.59218,1
128,4454,7042.62711,7042.65744,1
128,4454,7042.77679,7042.77685,1
128,4454,7042.78096,7042.78105,1
128,4454,7042.81195,7042.84216,1
128,4454,7042.85637,7042.85645,1
128,4454,7042.88898,7042.91912,1
128,4454,7042.99315,7043.02377,1
128,4454,7043.08272,7043.0828,1
128,4454,7043.08724,7043.08733,1
128,4454,7043.09281,7043.09288,1
128,4454,7043.09653,7043.09661,1
128,4454,7043.10072,7043.1008,1
128,4454,7043.10455,7043.10464,1
128,4454,7043.10923,7043.10931,1
128,4454,7043.11399,7043.11407,1
128,4454,7043.11776,7043.11785,1
128,4454,7043.12241,7043.12252,1
128,4454,7043.12762,7043.12771,1
128,4454,7043.13094,7043.13103,1
128,4454,7043.13519,7043.13528,1
128,4454,7043.13897,7043.13935,1
128,4454,7043.14282,7043.14291,1
128,4454,7043.14645,7043.14652,1
128,4454,7043.15111,7043.15118,1
128,4454,7043.15555,7043.15564,1
128,4454,7043.16945,7043.16954,1
128,4454,7043.17318,7043.17326,1
128,4454,7043.17682,7043.17691,1
128,4454,7043.18018,7043.18026,1
128,4454,7043.18378,7043.18387,1
128,4454,7043.18746,7043.18755,1
128,4454,7043.19108,7043.19117,1
128,4454,7043.19471,7043.1948,1
128,4454,7043.19907,7043.19915,1
128,4454,7043.20248,7043.20255,1
128,4454,7043.2062,7043.20629,1
128,4454,7043.21001,7043.2101,1
128,4454,7043.2143,7043.21439,1
